Applied On,Collected On,Anonymized Contact ID,Posting ID,Team,Department,Commitment / Work Type,Location,Origin,Sources,Current Stage,Current Stage ID,Application Archive Reason,Application Archived On,Application Archived By,Survey Id,Survey Name,Survey Location Type,Posting Title,Posting Owner,Posting Hiring Manager,Candidate Selected Location,Stage - New lead,Stage - Reached out,Stage - Responded,Stage - New applicant,Stage - Under review,Stage - Recruiter Screen,Stage - Hiring Manager Screen,Stage - 1st Round,Stage - 2nd Round,Stage - Decision,Stage - Offer,How satisfied were you with our communication during the recruiting process? - e8c5e9ae-38de-4acb-855c-8d18039b1f5c,How satisfied were you with the interview materials you received? - 4158aafc-ce92-4d35-930f-2f5451455a4d,How satisfied are you with your interviews with the Hiring Manager and Team? - 605b085d-5bba-4668-babc-17dc8304e06c,How satisfied were you with the interview feedback you received? - e30211c6-d32d-4f89-95fc-dfb91bb47033,Do you have any thoughts or comments that you would like to share? - a611bc41-fd5f-4f91-a277-3b0a260c7401,How satisfied were you with your Screening call? - de09e7f8-4e8c-498d-9ccb-237788b735d0,How satisfied are you with the way you were treated? - 05c18285-2750-479f-8afc-d560b66f552c,"Overall, how satisfied were you with your interviewing experience? - 693b0a81-d4e7-40a2-9135-7fc38fa43eaf",What suggestions would you make to improve our interview process? - 21866cc4-7d8f-47da-97df-9efdfcbe083d,How satisfied were you with the ease of the application process? - 513b2b55-b818-4f03-bf6f-e82b180c9e60
44444,44521,47bfd2fa92326c7b91c402042df982c3f012d46a4c4448ff84635dd557503da7,c0f92ae1-87bb-45d9-9a92-88c8fc75e93e,Banking & Partnerships,Banking,Permanent,Singapore (Remote),applied,"Job site,new",Hiring Manager Screen,0e5db96f-b0bf-4cc8-8908-be1a68b35af6,Underqualified,44488,Victor Leong Wei De,77207a55-bd26-46be-9a53-96cd4fcab3f0,Candidate Experience Survey for Currencycloud,posting,"Director, Bank & Platform Partners",Victor Leong Wei De,Ola Malomo,,,,,44444,,44461,44473,,,,,5 - Very satisfied,5 - Very satisfied,5 - Very satisfied,5 - Very satisfied,"I would like to thank the team at Currencycloud,  especially Victor ( Head of HR) gave me excellent feedback that really helped me. ",5 - Very satisfied,5 - Very satisfied,5 - Very satisfied,None,5 - Very satisfied
44465,44503,084160de1bd53c408ffd795506392baa1b876c0705399ea765c77396393f3273,a4b9da16-d93a-4f8b-a0bd-21309f48878d,Software Development,Technology,Permanent,UK (Remote),applied,"Job site,new",1st Round,3e6e2cc3-5186-4bd0-8840-126842b3272e,Underqualified,44497,Jake Pedlingham,77207a55-bd26-46be-9a53-96cd4fcab3f0,Candidate Experience Survey for Currencycloud,posting,Senior Scala Engineer (Remote),Jake Pedlingham,Jose Pettoruti,,,,,44465,,44466,44476,44476,,,,4 - Satisfied,3 - Neutral,4 - Satisfied,2 - Dissatisfied,,4 - Satisfied,4 - Satisfied,,I think the algorithm interview is a hard one to do with pair programming since it required high level of focus and problem solving which is harder to achieve in a interview pair programming environment. An opportunity to solve it individually then discuss it later usually works better.,4 - Satisfied
44461,44501,e7765b65cd342a56e8f379960f084997619e5e6c1da8929ed45cdce1469233a4,f90ea284-6be8-4ae3-8b16-539e7a7d8aea,New Business - APAC,Sales,Permanent,Singapore (Remote),applied,Job site,Hiring Manager Screen,0e5db96f-b0bf-4cc8-8908-be1a68b35af6,Underqualified,44498,Victor Leong Wei De,77207a55-bd26-46be-9a53-96cd4fcab3f0,Candidate Experience Survey for Currencycloud,posting,Sales Development Representative,Victor Leong Wei De,Anthony Man,,,,,44461,,44461,44480,,,,,3 - Neutral,3 - Neutral,4 - Satisfied,3 - Neutral,,3 - Neutral,3 - Neutral,3 - Neutral,,3 - Neutral
44501,44509,64a865c5aac2be4e4749e2cec828ea984584051aa0f8c6cf5e7d84f121bde568,c0f92ae1-87bb-45d9-9a92-88c8fc75e93e,Banking & Partnerships,Banking,Permanent,Singapore (Remote),agency,JH Partners,Recruiter Screen,37d6e3bc-0dcd-4f5a-857b-049e05e7eec7,Underqualified,44503,Victor Leong Wei De,77207a55-bd26-46be-9a53-96cd4fcab3f0,Candidate Experience Survey for Currencycloud,posting,"Director, Bank & Platform Partners",Victor Leong Wei De,Ola Malomo,,,,,44501,,44501,,,,,,5 - Very satisfied,5 - Very satisfied,5 - Very satisfied,5 - Very satisfied,,5 - Very satisfied,5 - Very satisfied,5 - Very satisfied,,5 - Very satisfied
44491,44503,a02adbe27ab74c1f2253ba805010c9dc2e336c00fb26a1c932e5195376d8d433,c0f92ae1-87bb-45d9-9a92-88c8fc75e93e,Banking & Partnerships,Banking,Permanent,Singapore (Remote),applied,"LinkedIn,Job site",Recruiter Screen,37d6e3bc-0dcd-4f5a-857b-049e05e7eec7,Timing,44503,Victor Leong Wei De,77207a55-bd26-46be-9a53-96cd4fcab3f0,Candidate Experience Survey for Currencycloud,posting,"Director, Bank & Platform Partners",Victor Leong Wei De,Ola Malomo,,,,,44491,,44494,,,,,,5 - Very satisfied,5 - Very satisfied,0 - Prefer not to answer,4 - Satisfied,,5 - Very satisfied,5 - Very satisfied,5 - Very satisfied,,5 - Very satisfied
44482,44504,34fd65c4852c9f298602cd75565292435d0d0621d9155f4d83b6a633dfc67dfc,a58984f8-d925-4580-b4be-e95a72cf4b0d,People,People,Permanent,UK (Remote),applied,"Job site,new",2nd Round,d916df5f-d436-4fc4-a7e7-c798f763fb9a,Position closed,44503,Elodie Martinie-Evans,77207a55-bd26-46be-9a53-96cd4fcab3f0,Candidate Experience Survey for Currencycloud,posting,HR Advisor,Adam Bolton,Elodie Martinie-Evans,,,,,44482,,,44483,44488,44497,,,1 - Very dissatisfied,1 - Very dissatisfied,1 - Very dissatisfied,1 - Very dissatisfied,,1 - Very dissatisfied,1 - Very dissatisfied,1 - Very dissatisfied,,1 - Very dissatisfied
44489,44507,e9bef9800abe8ca5b595ac9ed5021cc63cb8537e37b8b1a8ff9a1f06263b3352,f590b878-c6d3-4a5a-9ea4-425245a7f5bf,Product,Product,Permanent,UK (Remote),agency,orbis,Hiring Manager Screen,0e5db96f-b0bf-4cc8-8908-be1a68b35af6,Underqualified,44503,Jake Pedlingham,77207a55-bd26-46be-9a53-96cd4fcab3f0,Candidate Experience Survey for Currencycloud,posting,Agile Delivery Manager (Remote),Jake Pedlingham,Jenna Grierson,,,,,44489,,,44490,,,,,4 - Satisfied,3 - Neutral,3 - Neutral,5 - Very satisfied,,4 - Satisfied,4 - Satisfied,4 - Satisfied,,5 - Very satisfied
44497,44511,72896f2554c6b45cc1896eb16e48e155f0ea42d99800890297d859e21ebb1dfc,825c1873-88ab-4296-9fe6-9b5e0dc95832,Talent,People,Permanent,Singapore (Remote),applied,Job site,Recruiter Screen,37d6e3bc-0dcd-4f5a-857b-049e05e7eec7,Timing,44509,Victor Leong Wei De,77207a55-bd26-46be-9a53-96cd4fcab3f0,Candidate Experience Survey for Currencycloud,posting,Talent Acquisition / HR Specialist,Victor Leong Wei De,Victor Leong Wei De,,,,,44497,,44501,,,,,,4 - Satisfied,5 - Very satisfied,5 - Very satisfied,4 - Satisfied,,5 - Very satisfied,5 - Very satisfied,5 - Very satisfied,,5 - Very satisfied
44480,44510,02c2a5d52ab1cfa518d26bcf168935f7e3a5fd5345be0d7a8792f55990dc2c0c,33298610-3bd1-4f4e-8c47-6d26ca0cfb3a,Product,Product,Permanent,Singapore (Remote),applied,"Job site,new",Hiring Manager Screen,0e5db96f-b0bf-4cc8-8908-be1a68b35af6,Underqualified,44509,Victor Leong Wei De,77207a55-bd26-46be-9a53-96cd4fcab3f0,Candidate Experience Survey for Currencycloud,posting,Product Manager (APAC),Victor Leong Wei De,Elisa Monacchi,,,,,44480,,44480,44488,,,,,5 - Very satisfied,5 - Very satisfied,5 - Very satisfied,5 - Very satisfied,,5 - Very satisfied,5 - Very satisfied,5 - Very satisfied,,5 - Very satisfied
44467,44512,0b7c95de358567932590d3284722bb3c7ea5ee75e3b3efe595eb51320df3b312,5acbd131-5d34-410f-8693-59036e267c43,End-Client Onboarding,Compliance,Permanent,Cardiff (Remote),applied,"LinkedIn,Job site",Hiring Manager Screen,0e5db96f-b0bf-4cc8-8908-be1a68b35af6,Culture Fit,44511,Adam Jones,77207a55-bd26-46be-9a53-96cd4fcab3f0,Candidate Experience Survey for Currencycloud,posting,Compliance Analyst,Gabrielle Wheeler,Jill Meek,,,,,44467,44501,,44501,,,,,1 - Very dissatisfied,0 - Prefer not to answer,3 - Neutral,1 - Very dissatisfied,,3 - Neutral,3 - Neutral,3 - Neutral,"Offer feedback straight away. 
Long gag between the application and the interview, I assumed that I had been unsuccessful. ",3 - Neutral
